facility_id,product_id,qty_units
1,3985,286
1,1697,224
1,2243,342
1,3961,203
1,2154,70
1,3714,52
1,3643,57
1,4314,293
1,3583,168
1,4417,46
1,1011,373
1,1992,166
1,4794,194
1,1406,468
1,1971,333
1,3260,134
1,1408,51
1,1561,238
1,3818,259
1,351,376
1,795,324
1,3142,53
1,2815,231
1,3599,392
1,4302,139
1,4261,118
1,2905,6
1,4976,266
1,1207,128
1,3361,39
1,974,294
1,3660,33
1,4025,314
1,1397,342
1,713,180
1,2930,359
1,22,468
1,511,27
1,4784,163
1,4124,500
1,3364,64
1,3224,481
1,4120,122
1,1475,18
1,3669,234
1,3626,314
1,1968,306
1,1432,141
1,2540,234
1,1102,422
1,3090,466
1,1245,300
1,2544,83
1,1548,324
1,1759,135
1,2767,368
1,1703,411
1,220,136
1,3843,434
1,414,457
1,4595,189
1,77,54
1,1910,48
1,1630,354
1,785,51
1,754,49
1,379,211
1,4172,224
1,4088,153
1,2789,96
1,3569,478
1,4699,441
1,4990,129
1,1015,235
1,3149,210
1,3670,431
1,206,145
1,2417,452
1,3048,245
1,510,108
1,2054,456
1,367,269
1,4163,404
1,3163,416
1,2853,423
1,223,45
1,4879,139
1,4198,187
1,1398,53
1,56,367
1,2994,406
1,4704,177
1,3339,179
1,4268,153
1,3451,499
1,1639,66
1,3831,145
1,1694,325
1,501,420
1,3759,126
1,3222,360
1,4027,499
1,466,135
1,3881,277
1,1880,296
1,2838,378
1,3572,33
1,3991,165
1,1206,449
1,2002,488
1,151,112
1,325,187
1,660,293
1,1038,407
1,384,275
1,4956,78
1,1976,277
1,2151,357
1,3312,185
1,783,265
1,1542,304
1,2750,477
1,657,452
1,2605,122
1,2749,315
1,2050,420
1,4273,74
1,3763,439
1,1258,408
1,2465,37
1,4945,227
1,907,180
1,1013,175
1,2395,299
1,2802,52
1,1507,118
1,421,207
1,231,176
1,3478,97
1,3294,128
1,4663,438
1,2714,420
1,407,367
1,2840,2
2,2762,87
2,2574,322
2,3066,89
2,3290,264
2,4501,233
2,3364,464
2,3515,458
2,3281,405
2,3694,168
2,685,64
2,844,388
2,693,434
2,2534,488
2,2386,462
2,4449,339
2,3477,338
2,4894,55
2,2331,387
2,1308,465
2,2456,245
2,2474,196
2,663,385
2,2648,98
2,79,140
2,2778,218
2,535,493
2,845,403
2,887,20
2,58,172
2,1777,16
2,1663,384
2,3045,125
2,2501,48
2,436,96
2,2042,369
2,2224,138
2,4542,307
2,657,368
2,3760,141
2,4257,393
2,3717,170
2,3113,333
2,2972,267
2,4379,15
2,398,12
2,3783,145
2,3025,219
2,196,335
2,46,496
2,4488,301
2,1012,473
2,1652,149
2,2618,217
2,1553,368
2,100,399
2,1563,122
2,1333,4
2,4452,492
2,2433,3
2,2722,192
2,4776,96
2,75,88
2,4559,380
2,2887,298
2,2040,72
2,1927,97
2,4205,350
2,1103,428
2,1151,347
2,1252,53
2,1358,194
2,4157,55
2,1859,176
2,3788,436
2,2707,189
2,1471,58
2,3371,15
2,1783,130
2,3380,447
2,4444,67
2,4886,104
2,1655,460
2,1197,230
2,1411,456
2,3667,53
2,4198,323
2,2857,298
2,2617,360
2,1824,359
2,4866,152
2,4747,290
2,1903,236
2,1841,36
2,3249,179
2,4584,362
2,1153,130
2,4104,8
2,2065,436
2,784,198
2,3769,380
2,3362,239
2,493,245
2,1801,18
2,4765,33
2,3964,296
2,1837,78
2,1600,140
2,2314,354
2,446,498
2,184,351
2,1849,140
2,1857,293
2,3962,471
2,602,401
2,751,325
2,4203,71
2,3596,373
2,4571,119
2,962,479
2,1050,53
2,3367,380
2,2572,413
2,4100,102
2,427,471
2,3326,390
2,3881,102
2,2940,94
2,2051,386
2,702,356
2,3916,234
