product_id,category_id,manufacturer_id,code,name,pack_weight_g,description,price,added_at,updated_at
1,18,,SKU-100000,Туалетний папір натуральний,300,Господь червонй тривога адвокат навряд вскакивать ніч загроза хотіти порада насолода вскакивать звільнення промовчати подробиця.,$129.65,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
2,13,3,SKU-100001,Томати у власному соку,240,Направо здригнутися сміятися перебивати написати нога ніж виконувати.,$77.32,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
3,13,33,SKU-100002,Горошок консервований,240,Медицина художній спорт танцювати палець пристрій звільнити вперед один інфекція академік роса.,$71.65,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
4,25,,SKU-100003,Пакет,300,Сміття аналіз спалити легко результат кидати художній палиця кордон засунути доба метал ставити.,$158.82,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
5,12,35,SKU-100004,Апельсини,1000,Пристрасть степ ліворуч зміна ідея навіщо кишеня розстебнути незвичний дрібниця крутий самостійно ніж тютюн отже свіжий.,$76.21,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
6,4,36,SKU-100005,Ковбаса копчена,400,Мільярд розвернутися подробиця вивчити пропаганда брову оборот будівництво заплакати валюта дальній болісно здалеку щур століття п'ятеро.,$36.37,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
7,19,,SKU-100006,Маркер,50,Темніти податковий приятель затягнутися перед очко бак супроводжуватися сонце.,$247.04,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
8,11,26,SKU-100007,Морозиво преміум,300,Свіжий полюбити їжа кпсс пісня похорон адже пробувати знімати.,$192.38,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
9,14,16,SKU-100008,Сік дитячий,180,Коробка жити кидати закласти взагалі метал гіркий деякий рідкий.,$82.34,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
10,18,22,SKU-100009,Скатертина паперова економ,900,Художній черговий почуття покинути байдужий тютюн ланцюжок покидати дівка редактор кишеня порада метелик прелесть кора.,$126.30,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
11,3,18,SKU-100010,Сметана,1000,Важкий хлопчисько неправда кут викинути вітати оборот рішення вітати отже неправда забирати лівий командир палець важливий.,$217.23,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
12,5,,SKU-100011,Тунець консервований,1000,Повністю ставити гуляти гараж настати команда домогтися незвичний другий багряний засунути дрібниця танцювати крутий упор ніж.,$201.03,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
13,18,,SKU-100012,Скатертина паперова,900,Художній зелений лягати а процес подробиця вітрина.,$176.45,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
14,8,27,SKU-100013,Майонез,250,Ленінград надати о спорт жити нестерпний безпорадний житель голубчик ленінград зупинити витримати холодно заспокоїтися простір відповісти.,$75.40,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
15,7,37,SKU-100014,Гречка,800,Пропаганда медицина місце білизна вітрина зрідка епоха темніти вчора висіти благати зелений.,$92.69,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
16,17,10,SKU-100015,Шампунь,150,За міра виражений один зловити чітко ліхтарик занадто аж грати кишеня.,$231.03,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
17,8,,SKU-100016,Майонез,500,Протягувати спосіб вивчити наштовхнутися червʼяк надати деякий серйозний пробувати диявол ґудзик більше.,$127.06,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
18,5,12,SKU-100017,Креветки,120,Плавно призначити спалити диявол жити затримати коваль за мʼята запустити услати.,$175.10,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
19,5,38,SKU-100018,Сардина натуральний,1000,Чоловічок холодно о мигнути юний точно отже тютюн труп.,$82.77,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
20,1,21,SKU-100019,Сік апельсиновий класичний,1000,Приятель їсти виконувати палиця зате вивчити сміливий редактор нога раніше мигнути поріг господиня важкий епоха військовий.,$29.84,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
21,5,40,SKU-100020,Оселедець натуральний,1000,Різноманітний вчора аналіз покидати провінція струмок паща редактор зловити летіти.,$144.74,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
22,11,,SKU-100021,Овочі заморожені,1000,Єврейський ніж заборонити блискучий соціалістичний різноманітний дрібниця ручка вітрина нога пастух порівняння.,$59.00,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
23,9,12,SKU-100022,Чипси,250,Мета інтелектуальний ефект покидати вказаний різноманітний нині брову адже.,$213.30,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
24,3,40,SKU-100023,Молоко,200,Діловий зрідка червонй метелик процес розвинений купа іспит гідність.,$10.36,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
25,19,,SKU-100024,Зошит натуральний,100,Важливий пісня заспівати ягода вперед підкинути черговий пані рішення мета банда.,$81.88,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
26,22,26,SKU-100025,Пиво 0.0 класичне світле,500,Домогтися затримати медицина термін чотири ковзати вовк вечір редактор прохід нестерпний дихання.,$242.29,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
27,25,18,SKU-100026,Скотч компактний,300,Один черевик мить кидати сміття мить виконувати можливо решітка князь помовчати що-небудь робочий кордон дошлий порода.,$212.84,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
28,21,38,SKU-100027,Пиво світле,1000,Тривога недолік соціалістичний видимо яскраво триста звільнити який викинути головний вмирати командувач монета дорогий настати рис.,$189.25,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
29,5,23,SKU-100028,Тунець консервований натуральний,400,Нарада синок будівництво головка армійський важливий деякий потім командувач провінція пісенька ідея навіщо несподіваний ковзати.,$24.04,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
30,3,,SKU-100029,Кефір,1000,Кидати насолода покидати зате будівництво настати прихований.,$148.03,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
31,16,22,SKU-100030,Відбілювач концентрат,1000,Ґаздиня рідкий спорт за викинути затримати щось командування вчора взагалі медицина заборонити відповісти ягода звільнення аналіз.,$177.98,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
32,1,,SKU-100031,Сік яблучний класичний,330,Розстебнути покидати ліловий рис іспит нині новий процес призначити.,$120.90,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
33,9,40,SKU-100032,Сухарики,100,МʼЯта промовчати направо друкувати метал соціалістичний сходити єдиний оборот танцювати мільярд знищення іспит.,$105.38,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
34,21,20,SKU-100033,Сидр,700,Висіти інструкція нарада спорт фахівець бочок інвалід.,$223.11,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
35,14,35,SKU-100034,Пюре фруктове,180,Райком нервово небезпека отже слати благати несподівано в'язниця при хід звільнення ліворуч.,$204.89,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
36,12,16,SKU-100035,Банани,1500,Нині поява наполегливо терапія який аналіз зарплата знищення.,$17.16,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
37,22,16,SKU-100036,Пиво 0.0 пшеничне класичне,330,Космос потягнутися реклама образа банк інтелектуальний міф важливий міф поріг світило потягнутися увійти брову ліворуч.,$143.99,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
38,24,18,SKU-100037,Ліхтарик,150,Рот триста радити академік упустити натиснути інтелектуальний неправда.,$26.81,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
39,14,14,SKU-100038,Сік дитячий,120,Зміна зарплата слати засунути мимо взагалі один інтернет білизна другий князь.,$22.73,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
40,17,1,SKU-100039,Шампунь для чутливої шкіри,100,Похмуро передо груди олівець тривога рішення гіркий порода торгівля білизна.,$106.07,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
41,5,19,SKU-100040,Тунець консервований,120,Керівник уточнити діставати який здалеку здригнутися розкішний перед прохід відповісти ламати прохід паща більше запустити райком.,$49.34,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
