order_id,product_id,qty_units,unit_price,total_price
1,2771,27,"$11,871.00","$320,517.00"
1,2439,42,"$11,421.00","$479,682.00"
1,2250,82,"$17,465.00","$1,432,130.00"
1,4051,100,"$6,974.00","$697,400.00"
1,574,23,"$12,755.00","$293,365.00"
1,3171,33,"$9,020.00","$297,660.00"
2,2990,115,"$10,681.00","$1,228,315.00"
2,4853,61,"$21,127.00","$1,288,747.00"
2,1313,78,"$10,978.00","$856,284.00"
2,3467,71,"$12,705.00","$902,055.00"
2,741,32,"$12,493.00","$399,776.00"
3,3752,2,$689.00,"$1,378.00"
3,2927,85,"$3,731.00","$317,135.00"
3,4757,57,"$2,787.00","$158,859.00"
3,467,35,"$17,661.00","$618,135.00"
3,2427,102,"$8,994.00","$917,388.00"
3,2688,2,"$16,748.00","$33,496.00"
3,404,99,"$3,255.00","$322,245.00"
3,1466,91,"$6,409.00","$583,219.00"
4,1864,99,"$3,100.00","$306,900.00"
4,347,6,"$7,438.00","$44,628.00"
4,2699,53,"$12,440.00","$659,320.00"
4,3597,58,"$5,249.00","$304,442.00"
4,2511,74,"$15,381.00","$1,138,194.00"
4,2386,66,"$13,638.00","$900,108.00"
5,2579,79,"$8,615.00","$680,585.00"
5,925,30,"$1,172.00","$35,160.00"
5,4998,95,"$22,012.00","$2,091,140.00"
5,2902,53,"$9,626.00","$510,178.00"
5,136,104,"$7,959.00","$827,736.00"
5,544,47,"$9,552.00","$448,944.00"
5,3052,30,"$8,894.00","$266,820.00"
5,1742,8,"$15,936.00","$127,488.00"
5,3365,62,"$14,270.00","$884,740.00"
5,1698,2,"$11,445.00","$22,890.00"
6,3466,59,"$11,006.00","$649,354.00"
6,3369,1,"$4,086.00","$4,086.00"
6,2552,80,"$3,833.00","$306,640.00"
6,3223,106,"$16,058.00","$1,702,148.00"
6,4289,28,"$17,723.00","$496,244.00"
6,4208,103,"$9,220.00","$949,660.00"
7,3202,116,"$1,145.00","$132,820.00"
7,283,96,"$5,474.00","$525,504.00"
