order_id,supplier_id,facility_id,status,total_amount,added_at,note
1,15,29,shipped,"$3,520,754.00",2025-11-27 19:36:09.061815 +00:00,закупка 2025-11-27
2,47,22,shipped,"$4,675,177.00",2025-11-28 19:36:09.061815 +00:00,закупка 2025-11-28
3,21,7,processing_by_supplier,"$2,951,855.00",2025-11-11 19:36:09.061815 +00:00,закупка 2025-11-11
4,2,24,shipped,"$3,353,592.00",2025-11-25 19:36:09.061815 +00:00,закупка 2025-11-25
5,47,27,shipped,"$5,895,681.00",2025-12-12 19:36:09.061815 +00:00,закупка 2025-12-12
6,28,29,shipped,"$4,108,132.00",2025-10-15 19:36:09.061815 +00:00,закупка 2025-10-15
7,1,39,processing_by_supplier,"$658,324.00",2025-11-13 19:36:09.061815 +00:00,закупка 2025-11-13
8,18,9,processing_by_supplier,"$4,178,617.00",2025-11-02 19:36:09.061815 +00:00,закупка 2025-11-02
9,35,13,received,"$2,428,667.00",2025-12-01 19:36:09.061815 +00:00,закупка 2025-12-01
10,48,39,received,"$1,414,360.00",2025-11-27 19:36:09.061815 +00:00,закупка 2025-11-27
11,8,15,processing_by_supplier,"$1,338,242.00",2025-11-25 19:36:09.061815 +00:00,закупка 2025-11-25
12,24,31,shipped,"$8,202,429.00",2025-10-31 19:36:09.061815 +00:00,закупка 2025-10-31
13,48,5,processing_by_supplier,"$2,096,977.00",2025-12-02 19:36:09.061815 +00:00,закупка 2025-12-02
14,30,2,processing_by_supplier,"$2,281,629.00",2025-12-03 19:36:09.061815 +00:00,закупка 2025-12-03
15,18,3,shipped,"$1,046,288.00",2025-12-11 19:36:09.061815 +00:00,закупка 2025-12-11
16,38,7,processing_by_supplier,"$3,338,749.00",2025-11-09 19:36:09.061815 +00:00,закупка 2025-11-09
17,12,16,processing_by_supplier,"$422,523.00",2025-11-09 19:36:09.061815 +00:00,закупка 2025-11-09
18,42,10,received,"$3,920,200.00",2025-12-01 19:36:09.061815 +00:00,закупка 2025-12-01
19,37,9,processing_by_supplier,"$3,342,158.00",2025-11-04 19:36:09.061815 +00:00,закупка 2025-11-04
20,38,20,processing_by_supplier,"$2,523,513.00",2025-10-30 19:36:09.061815 +00:00,закупка 2025-10-30
21,27,2,shipped,"$1,130,584.00",2025-11-14 19:36:09.061815 +00:00,закупка 2025-11-14
22,49,25,received,"$2,162,703.00",2025-10-27 19:36:09.061815 +00:00,закупка 2025-10-27
23,35,3,received,"$2,234,367.00",2025-11-24 19:36:09.061815 +00:00,закупка 2025-11-24
24,27,1,shipped,"$490,952.00",2025-10-24 19:36:09.061815 +00:00,закупка 2025-10-24
25,48,31,shipped,"$4,206,072.00",2025-11-30 19:36:09.061815 +00:00,закупка 2025-11-30
26,23,10,processing_by_supplier,"$3,425,073.00",2025-11-08 19:36:09.061815 +00:00,закупка 2025-11-08
27,11,37,shipped,"$1,255,068.00",2025-10-31 19:36:09.061815 +00:00,закупка 2025-10-31
28,38,34,processing_by_supplier,"$3,522,727.00",2025-12-06 19:36:09.061815 +00:00,закупка 2025-12-06
29,26,19,processing_by_supplier,"$2,472,851.00",2025-11-16 19:36:09.061815 +00:00,закупка 2025-11-16
30,4,35,received,"$3,760,387.00",2025-10-31 19:36:09.061815 +00:00,закупка 2025-10-31
31,2,13,received,"$1,239,963.00",2025-11-18 19:36:09.061815 +00:00,закупка 2025-11-18
32,19,7,shipped,"$4,606,778.00",2025-11-03 19:36:09.061815 +00:00,закупка 2025-11-03
33,43,5,shipped,"$1,347,270.00",2025-10-25 19:36:09.061815 +00:00,закупка 2025-10-25
34,5,4,received,"$1,355,681.00",2025-11-24 19:36:09.061815 +00:00,закупка 2025-11-24
35,23,16,shipped,"$3,143,928.00",2025-12-10 19:36:09.061815 +00:00,закупка 2025-12-10
36,10,2,shipped,"$5,839,233.00",2025-10-25 19:36:09.061815 +00:00,закупка 2025-10-25
37,35,28,shipped,"$2,748,996.00",2025-11-25 19:36:09.061815 +00:00,закупка 2025-11-25
38,31,15,shipped,"$7,461,836.00",2025-11-19 19:36:09.061815 +00:00,закупка 2025-11-19
39,32,40,processing_by_supplier,"$641,674.00",2025-11-28 19:36:09.061815 +00:00,закупка 2025-11-28
40,33,20,shipped,"$2,367,565.00",2025-10-23 19:36:09.061815 +00:00,закупка 2025-10-23
41,40,5,shipped,"$2,285,542.00",2025-11-15 19:36:09.061815 +00:00,закупка 2025-11-15
42,4,16,received,"$5,512,706.00",2025-11-28 19:36:09.061815 +00:00,закупка 2025-11-28
